Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
EGR2,8.109364592497297,5.992419015284046,2.116945577213251,4.6156424402361006e-10,6.23804075797909e-06
EGR3,8.060460409206,6.9307106173212105,1.1297497918847892,3.42913361664998e-09,2.317237041451224e-05
IL1B,9.81471560194685,8.54120594562814,1.2735096563187085,1.0247441715284547e-07,0.0004616472492735688
FRAT2,9.71316494620539,9.065794536279382,0.6473704099260083,3.1678772777017956e-07,0.0008562772281627953
PTGS2,9.158739852650472,7.858289899632808,1.3004499530176634,7.390686478437458e-06,0.00843668008265974
CCR1,10.504862193328915,9.744687152135192,0.7601750411937225,1.2656981280570608e-05,0.012218507286207983
KLF10,10.597700099309995,11.445208627186384,-0.8475085278763892,1.6903328934774987e-05,0.014278030659592747
ZNF473,7.100608939333331,6.501153891829641,0.5994550475036906,3.705375364262393e-05,0.02384673716571726
CXCL1,6.924467345117027,6.059992562726556,0.864474782390471,5.199623394581552e-05,0.025571259905645193
MTUS1,6.57233551770883,5.906061507969113,0.6662740097397171,4.9856119391756333e-05,0.025571259905645193
SGK1,11.72813766850176,10.97240604934535,0.7557316191564105,7.053783295117096e-05,0.028955462496741226
HLA-DQA1 /// HLA-DQA2 /// LOC100509457,12.662553440592484,11.970001440570448,0.6925520000220367,7.769089422275122e-05,0.030029105152640397
CD69,9.848127551554192,10.62059159113212,-0.7724640395779279,0.00010215021677058812,0.0321060506896395
ACADSB,5.081132797649588,6.022502150605078,-0.9413693529554896,9.324753003604768e-05,0.0321060506896395
FOSB,8.045206366396922,5.942916377665689,2.1022899887312327,0.00010202544837226217,0.0321060506896395
HCAR3,9.143711967284373,8.191768117204912,0.951943850079461,9.08364263183256e-05,0.0321060506896395
KIAA0319L,6.279492454763596,7.504849975520787,-1.225357520757191,9.615309032096293e-05,0.0321060506896395
F13A1,10.173544524649008,10.812083154795557,-0.6385386301465488,0.00012543525552012453,0.034967739230007136
IGLC1 /// IGLV3-10 /// IGLV3-10,8.015832117569671,6.500538299416846,1.5152938181528253,0.0001266697961580392,0.034967739230007136
KBTBD4,7.427452473161481,8.133793779893658,-0.7063413067321767,0.00017058682923880254,0.04044703503793713
IGLC1 /// IGLV3-25 /// IGLV3-25,9.713287931063384,9.038813752107481,0.6744741789559026,0.00018132863283398497,0.04153655038561537
ANP32A-IT1,6.4298133283646814,7.0249949544938675,-0.595181626129186,0.0001852179255327386,0.04172033772624937
PSG2,4.437983316780395,3.747742174391926,0.6902411423884689,0.00021236547541509074,0.04415568308053771
