,count
EGR3,5
EGR2,5
IL1B,5
PTGS2,4
HCAR3,2
FOSB,2
KIAA0319L,2
FRAT2,2
SLC35A3,2
PNP,2
MTUS1,2
ATXN2L,2
HNRNPD,2
PTP4A2,2
SKP2,2
CHFR,2
ZNF473,2
LPIN2,2
GIMAP1-GIMAP5 /// GIMAP5,2
KLF10,2
TNNI2,1
KBTBD4,1
CLU,1
CCR1,1
THOC7,1
GNG11,1
BTG2,1
TOMM20,1
SGK1,1
ART3,1
ZMYM5,1
CLTC-IT1,1
EIF4G2,1
EXOC7,1
UPK1A,1
VWA5A,1
KIAA0368,1
MKL2,1
AFAP1,1
RWDD1,1
HLX,1
XPO6,1
NOP10,1
GAR1,1
SPATA5L1,1
KLHL28,1
SPARC,1
IL16,1
PAFAH1B3,1
REPS1,1
ZBTB16,1
IGLC1 /// IGLV3-10 /// IGLV3-10,1
STX8,1
MRPS10,1
IL27RA,1
ANXA4,1
WDR73,1
ZNF79,1
BMPR1B,1
ZNF223,1
ABCC5,1
ZNF211,1
PCGF2,1
SAP130,1
RALBP1,1
ZFP30,1
CDC42SE1,1
UCHL3,1
PAK4,1
WDR6,1
CSNK1D,1
MSN,1
PTPN7,1
GJC1,1
APBB3 /// MIR6831,1
CHTOP,1
PSTPIP2,1
IQCB1,1
SHC2,1
ANXA5,1
RAB11A,1
CAST,1
HLA-DQA1 /// HLA-DQA2 /// LOC100509457,1
BOLA1,1
HLA-DRB4,1
ACADSB,1
RNF25,1
