Campione,Etichetta_Reale,Probabilita_Predetta
GSM826976,1,0.9811376037223176
GSM826977,1,0.9838416508234108
GSM826978,1,0.9297677036613592
GSM826979,1,0.9174346861311886
GSM826980,1,0.969291941670354
GSM826981,1,0.6468045973719048
GSM826982,1,0.9860423168692048
GSM826983,1,0.9002042766558279
GSM826988,1,0.9966802157373452
GSM826989,1,0.9818756198905624
GSM826990,1,0.9843836927958381
GSM826991,1,0.9762092965895848
GSM826992,1,0.9828435116036377
GSM826993,1,0.9766645522737393
GSM826994,1,0.9936738721838289
GSM826995,1,0.959720664046074
GSM826974,0,0.9092275593625785
GSM826975,0,0.9945794085315669
GSM826984,0,0.9530677322908772
GSM826985,0,0.9787451871920319
GSM826986,0,0.9919614242766689
GSM826987,0,0.9828885508133615
